metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1788645686.4355,elite,4158.0284768386,1769018681.5779,AS210644 AEZA GROUP LLC,AEZA-AS,Paris,Europe,EU,France,FR,,True,Aeza International LTD,48.8558,2.3494,False,Aeza International LTD,True,Île-de-France,success,Europe/Paris,75001,1788589716,1788645753.3065,36219,socks5,77.221.152.210:36219,True,188.70878219604,47499,100502,32.093702069581,77.221.152.210
True,1788645681.854,elite,366.96162742248,1776580157.2792,AS215439 PLAY2GO INTERNATIONAL LIMITED,PLAY2GO-NET,Helsinki,Europe,EU,Finland,FI,,True,Play2go International Limited,60.1719,24.9347,False,Play2go LTD,True,Uusimaa,success,Europe/Helsinki,00221,1788070071,1788645753.2413,50080,socks4,31.13.208.125:50080,True,162.21785545349,28573,197258,12.652381648224,31.13.208.125
True,1788645584.3209,elite,1166.88856948,1788233292.7014,AS8400 TELEKOM SRBIJA a.d.,TELEKOM-AS,Niš,Europe,EU,Serbia,RS,,False,TELEKOM SRBIJA a.d.,43.3265,21.9023,False,x PREDUZECE ZA PROIZVODNJU PROJEKTOVANJE INZENJERING I TRGOVINU EKSPORT IMPO x,False,Nišava,success,Europe/Belgrade,,1788230453,1788645753.0553,1090,socks5,93.87.38.20:1090,True,218.64938735962,18705,1159,94.165324204591,93.87.38.20
True,1788645237.9303,elite,2440.8352291953,1787704309.6108,AS24940 Hetzner Online GmbH,HETZNER-AS,Nuremberg,Europe,EU,Germany,DE,,True,Hetzner Online GmbH,49.4527,11.0783,False,Hetzner,True,Bavaria,success,Europe/Berlin,90403,1788307826,1788645752.9941,10801,socks5,5.75.133.113:10801,True,438.43007087708,29804,3909,88.405066294901,5.75.133.113
True,1788645639.9136,elite,1016.2098531914,1776084257.6958,AS51167 Contabo GmbH,CONTABO,Lauterbourg,Europe,EU,France,FR,,True,Contabo GmbH,48.9742,8.1851,False,TerraTransit AG,True,Grand Est,success,Europe/Paris,67630,1788548891,1788645752.8699,1080,socks5,109.123.251.109:1080,True,710.45851707458,109011,37778,74.263739108516,109.123.251.109
True,1788641229.9049,elite,2472.1698552474,1787606471.3364,AS24940 Hetzner Online GmbH,HETZNER-AS,Nuremberg,Europe,EU,Germany,DE,,True,Hetzner Online GmbH,49.4527,11.0783,False,Hetzner,False,Bavaria,success,Europe/Berlin,90403,1788210770,1788645752.8623,10811,socks5,5.75.133.113:10811,True,699.75066184998,32567,4131,88.743255763257,5.75.133.113
True,1788645669.489,elite,146.50362762033,1785992051.8953,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,GCS-AS,Paris,Europe,EU,France,FR,,False,Global Connectivity Solutions LLP,48.8558,2.3494,False,Global Connectivity Solutions LLP,True,Île-de-France,success,Europe/Paris,75001,1788408361,1788645752.8337,1082,socks4,109.172.55.210:1082,True,65.572261810303,71156,62289,53.322342538124,109.172.55.210
True,1788645702.3878,elite,3240.0647446804,1786673353.2466,"AS45582 VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA",VAINAVIINDUSTRIESLTD-IN,Nandyāl,Asia,AS,India,IN,,False,"VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA",15.478,78.4836,False,Vainavi Industries Ltd,True,Andhra Pradesh,success,Asia/Kolkata,518501,1788485950,1788645752.6855,4153,socks4,119.235.50.78:4153,True,765.64288139343,33362,52450,38.878012399198,119.235.50.78
True,1788645752.6314,elite,2988.2249547103,1776081065.8056,AS35745 Provector Sp. z o.o,PROVECTOR-AS,Strzelce Krajeńskie,Europe,EU,Poland,PL,,False,KSU Provector Mariusz Dziakowicz,52.8814,15.5368,False,,True,Lubusz,success,Europe/Warsaw,66-500,1788174580,1788645752.6314,59341,socks4,37.131.164.94:59341,True,200.93822479248,53489,326310,14.083502062933,37.131.164.94
True,1788645697.2242,elite,339.37358635955,1783180244.3948,AS214707 RCell LLC,Rcell,Al-Hasakah,Asia,AS,Syria,SY,,False,RCell LLC,36.5024,40.7477,False,RCell LLC,True,Al-Hasakah Governorate,success,Asia/Damascus,,1788621804,1788645752.6155,1080,socks4,205.209.66.105:1080,True,316.56169891357,51750,138242,27.237988967957,205.209.66.105
